Equipo,JJ,JG,JE,JP,GF,GC,DIF,PTS
América,17,12,4,1,37,14,23,40
Monterrey,17,10,3,4,27,15,12,33
Tigres,17,8,6,3,32,18,14,30
UNAM,17,8,4,5,27,18,9,28
Guadalajara,17,8,3,6,22,22,0,27
Puebla,17,7,4,6,24,25,-1,25
Atlético de San Luis,17,7,2,8,31,26,5,23
León,17,6,5,6,23,22,1,23
Santos,17,7,2,8,31,34,-3,23
Mazatlán FC,17,6,4,7,25,27,-2,22
Pachuca,17,5,7,5,16,27,-11,22
Toluca,17,5,6,6,23,19,4,21
Tijuana,17,6,2,9,23,26,-3,20
Querétaro,17,5,4,8,18,29,-11,19
FC Juárez,17,5,3,9,24,34,-10,18
Cruz Azul,17,5,2,10,21,29,-8,17
Atlas,17,4,5,8,14,24,-10,17
Necaxa,17,3,6,8,18,27,-9,15
